Key,File,Type,UsedInMainMenu,NoTranslate,english,Context,japanese
dialog_coco_cook_request,Dialogue,Coco,,,"'What would you like me to cook?'","","「何を作ってほしい?」"
dialog_coco_cook_boiledegg,Dialogue,Coco,,,Make boiled egg,,ゆで卵を作って
dialog_coco_confirm_boiledegg,Dialogue,Coco,,,"'Do you want to try making a boiled egg?'","","「ゆで卵を作る?」"
dialog_coco_cook_confirm,Dialogue,Coco,,,"Yes,let's cook!",,うん、作って!
dialog_coco_recipe_boiledegg,Dialogue,Coco,,,"'You'll need one regular Egg to make this.'",,"「普通の卵がひとつあれば作れるよ。」"
dialog_coco_cook_omelette,Dialogue,Coco,,,Make tamagoyaki,,卵焼きを作って
dialog_coco_confirm_omelette,Dialogue,Coco,,,"'Do you want to try making an omelette?'","","「卵焼きを作る?」"
dialog_coco_cook_confirm,Dialogue,Coco,,,"Yes,let's cook!",,うん、作って!
dialog_coco_recipe_omelette,Dialogue,Coco,,,"'You'll need a Special Egg and some Animal Fat to make this.'",,"「特別な卵と動物性油脂があれば作れるよ。」"
dialog_coco_cook_soup,Dialogue,Coco,,,Make egg soup,,卵スープを作って
dialog_coco_confirm_soup,Dialogue,Coco,,,"'Do you want to try making egg soup?'","","「卵スープを作る?」"
dialog_coco_cook_confirm,Dialogue,Coco,,,"Yes,let's cook!",,うん、作って!
dialog_coco_recipe_soup,Dialogue,Coco,,,"'You'll need a Special Egg,Soup Base,and some Mushrooms to make this.'",,"「特別な卵とスープの素、それにキノコが必要だよ。」"
dialog_coco_cook_toast,Dialogue,Coco,,,Make French Toast,,フレンチトーストを作って
dialog_coco_confirm_toast,Dialogue,Coco,,,"'Do you want to try making French Toast?'","","「フレンチトーストを作る?」"
dialog_coco_cook_confirm,Dialogue,Coco,,,"Yes,let's cook!",,うん、作って!
dialog_coco_recipe_toast,Dialogue,Coco,,,"'You'll need a Special Egg,Special Flour,and some Honey to make this.'",,"「特別な卵と特製小麦粉、それに蜂蜜の瓶詰めが必要だよ。」"
dialog_coco_cook_golden,Dialogue,Coco,,,Make Golden Omelette,,黄金のオムレツを作って
dialog_coco_confirm_golden,Dialogue,Coco,,,"'Do you want to try making the Golden Omelette?'","","「黄金のオムレツを作る?」"
dialog_coco_cook_confirm,Dialogue,Coco,,,"Yes,let's cook!",,うん、作って!
dialog_coco_recipe_golden,Dialogue,Coco,,,"'You'll need a Special Egg,Golden Butter,and Super Corn to make this.'","","「特別な卵と黄金バター、それにスーパーコーンが必要だよ。」"
foodCocoBoiledEgg,items,Food,,,Coco's Special Boiled Egg,,Cocoの特製ゆで卵
foodCocoBoiledEggDesc,items,Food,,,"A gently warm and tender boiled egg,infused with Coco's care. Coco says it's perfect when you just need a little comfort.",,"ほんのり温かい、優しい味のゆで卵。Cocoの気持ちがこもっている。"
foodCocoEggOmelette,items,Food,,,Coco's Fluffy Tamagoyaki,,Cocoのほかほか卵焼き
foodCocoEggOmeletteDesc,items,Food,,,"A warm,fluffy omelette made with care. Increases your luck when looting for 5 minutes.",,"ふわふわであったかい卵焼き。5分間だけ探索運がちょっとアップ。"
buffCocoLootBoost,buffs,Buff,,,Coco's Egg Surprise,,Cocoのたまごのおたのしみ
buffCocoLootBoostDesc,buffs,Buff,,,"Increases your luck when looting for 5 minutes. Coco says you never know what you'll find!",,"5分間だけ探索運がちょっとアップ。"
foodCocoEggSoup,items,Food,,,Coco's Signature Egg Soup,,Cocoの直伝卵スープ
foodCocoEggSoupDesc,items,Food,,,"A nourishing soup of eggs and mushrooms. Keeps you warm and slightly boosts your resource gathering for 5 minutes.",,"卵とキノコのやさしいスープ。体がぽかぽか温まって、資源採集量が少しアップ(5分間)。"
buffCocoEggSoupBoost,buffs,Buff,,,Coco's Warming Egg Soup,,Cocoのぽかぽか卵スープ
buffCocoEggSoupBoostDesc,buffs,Buff,,,"Keeps you warm and slightly boosts your resource gathering for 5 minutes.",,"体がぽかぽか温まって、資源採集量が少しアップ(5分間)。"
foodCocoFrenchToast,items,Food,,,Coco's Forest French Toast,,Cocoの森のフレンチトースト
foodCocoFrenchToastDesc,items,Food,,,"A sweet,syrupy dish with healing honey. Helps cure infection — made for adventurers who need a little comfort. Speeds up your attacks and movement slightly for 5 minutes.",,"甘い香りと癒しのはちみつ。感染症も少しよくなる、旅人のためのCoco特製フレンチトースト。5分間だけ攻撃と移動がちょっと速くなる。"
buffCocoFrenchToastBoost,buffs,Buff,,,Coco's Energizing French Toast,,Cocoの元気になるフレンチトースト
buffCocoFrenchToastBoostDesc,buffs,Buff,,,"Speeds up your attacks and movement slightly for 5 minutes. Coco says it's like a jump-start for your adventure!",,"5分間だけ攻撃と移動がちょっと速くなる。"
foodCocoGoldenOmelette,items,Food,,,Coco's Golden Omelette,,Cocoの金のオムレツ
foodCocoGoldenOmeletteDesc,items,Food,,,"A luxurious omelette made with rare ingredients and a golden sauce. Grants a boost to ranged damage and reduces incoming damage for 30 minutes. Coco says it might help you win any battle...",,"希少な素材と金色のソースで仕上げた、贅沢なオムレツ。食べると遠距離ダメージが上昇し、受けるダメージが軽減される(30分間)。"
buffCocoGoldenOmelette,buffs,Buff,,,Coco's Golden Feast,,Cocoの金色ごちそう
buffCocoGoldenOmeletteDesc,buffs,Buff,,,"Boosts ranged damage and defense for 30 minutes. Coco says this feast brings victory to your adventure!",,"30分間遠距離ダメージと防御力がアップ。これを食べれば冒険に勝てる!"
resourceSpecialEgg,items,Item,,,"Special Egg",,"特別な卵"
resourceSoupBase,items,Item,,,"Soup Base",,"スープの素"
resourceSpecialFlour,items,Item,,,"Special Flour",,"特製小麦粉"
resourceGoldenButter,items,Item,,,"Golden Butter",,"金色のバター"
resourceSpecialEggDesc,items,Item,,,"A rare and precious egg,full of flavor and perfect for all kinds of dishes.",,"風味豊かで、さまざまな料理にぴったりな貴重なたまご。"
resourceSoupBaseDesc,items,Item,,,"The heart of any good soup,simmered to perfection.",,"すべての良いスープの素、じっくり煮込まれた素材。"
resourceSpecialFlourDesc,items,Item,,,"A soft,fine flour ideal for creating delicious breads.",,"美味しいパン作りに最適な、やわらかくきめ細かい小麦粉。"
resourceGoldenButterDesc,items,Item,,,"An exquisite butter with a rich,creamy taste and a golden hue.",,"豊かなクリーム風味と金色の輝きを持つ極上のバター。"
cntSpecialBirdnest,blocks,Block,,,"Special Bird Nest",,"特別な鳥の巣"
cntSpecialBirdnestDesc,blocks,Block,,,"A carefully tended bird nest,providing rare and precious eggs. ※Requires 7 blocks of open space above to place.","","大切に手入れされた鳥の巣。貴重な特製たまごを提供してくれる。※設置には頭上7ブロック分の空間が必要です。"
cntSpecialBirdnestLv2,blocks,Block,,,"Special Bird Nest Lv2",,"特別な鳥の巣Lv2"
cntSpecialBirdnestLv2Desc,blocks,Block,,,"An upgraded bird nest,producing special eggs at a faster pace. ※Requires 7 blocks of open space above to place.","","特別な卵の生産スピードが上がった鳥の巣。※設置には頭上7ブロック分の空間が必要です。"
xuiDewCollector,UI,XUI,false,false,Production Unit,,生産設備
dewCollectorEmpty,UI,Use Prompt,false,false,{0} Open {1} ([888888]Empty[-]),,{0}で{1}を開く(空)
dewCollectorHasDirtyWater,UI,Use Prompt,false,false,{0} Open {1} ([FFAA00]Ready[-]),,{0}で{1}を開く(完了)
toolNestWarmer,items,Item,,,"Special Mat",,"特製マット"
toolNestWarmerDesc,items,Item,,,"Used to upgrade a Special Bird Nest,increasing the speed of egg production.Bring this item to Coco and she will trade it for the upgraded facility.",,"鳥の巣をアップグレードし、卵の生産速度を高めるために使用する。このアイテムを持ってCocoに話しかけてアップグレードした設備と交換しよう。"
cntSoupStove,blocks,Block,,,"Soup Stove","",スープコンロ
cntSoupStoveDesc,blocks,Block,,,"A warm stove that slowly produces Soup Base. ※Requires 7 blocks of open space above to place.","","スープの素をゆっくり生成する温かなコンロ。※設置には頭上7ブロック分の空間が必要です。"
cntSoupStoveLv2,blocks,Block,,,"Soup Stove Lv2","",スープコンロLv2
cntSoupStoveLv2Desc,blocks,Block,,,"An upgraded stove that speeds up Soup Base production. ※Requires 7 blocks of open space above to place.","","スープの素の生産速度が上がるアップグレードコンロ。※設置には頭上7ブロック分の空間が必要です。"
toolGoldenLadle,items,Item,,,"Golden Ladle",,"黄金のレードル"
toolGoldenLadleDesc,items,Item,,,"Used to upgrade a Soup Stove.Bring this item to Coco and she will trade it for the upgraded facility.",,"スープコンロをアップグレードする。このアイテムを持ってCocoに話しかけてアップグレードした設備と交換しよう。"
cntFlourSack,blocks,Block,,,"Flour Sack",,"特製小麦粉袋"
cntFlourSackDesc,blocks,Block,,,"A sack filled with precious flour,slowly producing special wheat powder. ※Requires 7 blocks of open space above to place.","","特別な小麦粉がゆっくりと作られる袋。※設置には頭上7ブロック分の空間が必要です。"
cntFlourSackLv2,blocks,Block,,,"Flour Sack Lv2",,"特製小麦粉袋Lv2"
cntFlourSackLv2Desc,blocks,Block,,,"An upgraded sack,producing special flour at a faster pace. ※Requires 7 blocks of open space above to place.","","特製小麦粉の生産スピードが上がった袋。※設置には頭上7ブロック分の空間が必要です。"
toolGoldenSifter,items,Item,,,"Golden Sifter",,"黄金のふるい"
toolGoldenSifterDesc,items,Item,,,"Used to upgrade a Flour Sack,improving the speed of special flour production.Bring this item to Coco and she will trade it for the upgraded facility.","","粉袋をアップグレードし、特製小麦粉の生産速度を高めるために使用する。このアイテムを持ってCocoに話しかけてアップグレードした設備と交換しよう。"
cntGoldenFridge,blocks,Block,,,"Golden Fridge",,"特製冷蔵庫"
cntGoldenFridgeDesc,blocks,Block,,,"A chilled container that produces golden butter over time. ※Requires 7 blocks of open space above to place.","","時間をかけて黄金のバターを生み出す冷蔵庫。※設置には頭上7ブロック分の空間が必要です。"
cntGoldenFridgeLv2,blocks,Block,,,"Golden Fridge Lv2",,"特製冷蔵庫Lv2"
cntGoldenFridgeLv2Desc,blocks,Block,,,"An upgraded fridge that produces golden butter faster. ※Requires 7 blocks of open space above to place.","","特製バターの生産スピードが上がった冷蔵庫。※設置には頭上7ブロック分の空間が必要です。"
toolGoldenCoolant,items,Item,,,"Golden Coolant",,"黄金の冷却材"
toolGoldenCoolantDesc,items,Item,,,"Used to upgrade a Golden Fridge,increasing the speed of golden butter production.Bring this item to Coco and she will trade it for the upgraded facility.","","特製バター冷蔵庫をアップグレードし、黄金のバターの生産速度を高めるために使用する。このアイテムを持ってCocoに話しかけてアップグレードした設備と交換しよう。"
schematic_specialbirdnest,items,Item,,,"Special Bird Nest Schematic",,"特別なたまごの巣の設計図"
schematic_specialbirdnestDesc,items,Item,,,"A blueprint that teaches you how to craft a special bird nest.","","特別なたまごを育む鳥の巣の作成方法が学べる設計図。"
schematic_soupstove,items,Item,,,"Soup Stove Schematic",,"スープコンロの設計図"
schematic_soupstoveDesc,items,Item,,,"A blueprint for building a soup stove.","","スープの素を生成するコンロの作り方が学べる設計図。"
schematic_floursack,items,Item,,,"Flour Sack Schematic",,"特製小麦粉袋の設計図"
schematic_floursackDesc,items,Item,,,"A blueprint for crafting a flour sack.","","特製小麦粉を生み出す袋の作り方が学べる設計図。"
schematic_goldenfridge,items,Item,,,"Golden Fridge Schematic",,"特製冷蔵庫の設計図"
schematic_goldenfridgeDesc,items,Item,,,"A blueprint for building a golden butter-producing fridge.","","黄金のバターを生み出す冷蔵庫の作り方が学べる設計図。"
# ===== 職人関連 =====,,,,,,,
npcTinkererRabbit,entityclasses,Entity Name,,,Lapin,,Lapin
npcTinkererRabbitName,entityclasses,Entity Name,,,Lapin the Tinkerer,,職人Lapin
rabbitPickUpNPC,items,Item,,,Rabbit Companion Totem,,Lapinを呼び出すお守り
rabbitPickUpNPCDesc,items,Item,,,"A totem that lets you summon your skilled tinkerer,Lapin.","","器用な職人・Lapinを呼び出せるお守り。"
letter_welcome_tinkerer,items,Quest,,,Worn Letter - Tinkerer,,古びた手紙 - 職人
letter_welcome_tinkererDesc,items,Quest,,,A letter smudged with grease and blueprints. It sparks your curiosity.,,設計図と油のしみがついた手紙。何か面白そうなことが書いてある。
schematic_tinkerer_letter,items,Item,,,Tinkerer's Letter Craft Schematic,,職人の手紙クラフト図面
schematic_tinkerer_letterDesc,items,Item,,,Unlocks the recipe for the tinkerer's welcome letter.,,職人の仲間を呼ぶ手紙のクラフト方法を解放します。
quest_welcome_tinkerer_title,quests,Quest,,,Welcome the Tinkerer,,整備士の仲間入り
quest_welcome_tinkerer_subtitle,quests,Quest,,,A task to welcome Lapin,,Lapinを迎える準備
quest_welcome_tinkererDesc,quests,Quest,,,You've found a letter referencing a skilled tinkerer. Craft a useful tool that might attract their attention.,,整備の得意な仲間のことが書かれた手紙を見つけた。役立つ道具を作れば呼び出せるかもしれない。
lapin_summon_message,buffs,Buff,,,Lapin has arrived to help you!,,Lapinが助けに来たよ!
lapin_revive_message,buffs,Buff,,,Lapin has risen from the grave... again.,,Lapinが墓から蘇った…ふたたび。
reviveStoneLapin,Blocks,Block,,,Lapin's grave marker.,,Lapinの墓標
tinkererSummonItem,items,Quest,,,Letter of Summoning - Tinkerer,,職人を召喚する手紙
desc_tinkererSummonItem,items,Quest,,,Read this to summon your clever tinkerer. Talk to them when they appear.,,これを読んで現れた職人に話しかけてみよう。
itemRabbitSupportActivator1,items,Item,,,Rabbit Charm I,,ラビットチャームⅠ(いち)
itemRabbitSupportActivator1Desc,items,Item,,,"A charm imbued with the skill of a nimble mechanic.\n[99FFFF]If you ever lose Lapin's support,this charm may help restore it.",,"器用な整備士の技が宿ったチャーム。\n[99FFFF]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
itemRabbitSupportActivator2,items,Item,,,Rabbit Charm II,,ラビットチャームⅡ(に)
itemRabbitSupportActivator2Desc,items,Item,,,"The charm hums with greater craftsmanship.\n[FFCC66]If you ever lose Lapin's support,this charm may help restore it.",,"熟練の技がさらに高まったチャーム。\n[FFCC66]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
itemRabbitSupportActivator3,items,Item,,,Rabbit Charm III,,ラビットチャームⅢ(さん)
itemRabbitSupportActivator3Desc,items,QuItemest,,,"A finely tuned charm radiating energy.\n[FF9999]If you ever lose Lapin's support,this charm may help restore it.",,"磨き上げられた技術が感じられるチャーム。\n[FF9999]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
itemRabbitSupportActivator4,items,Item,,,Rabbit Charm IV,,ラビットチャームⅣ(よん)
itemRabbitSupportActivator4Desc,items,Item,,,"An exquisite charm,fit for a master builder.\nUnlocks powerful crafting knowledge:\nLapin's Builder Bench\n[66CCFF]If you ever lose Lapin's support,this charm may help restore it.",,"熟練の建築職人にふさわしい至高のチャーム。\n特別なクラフト知識が解放されます:\nLapinの建築ベンチ\n[66CCFF]もし支援を失ってしまったら、このチャームをもう一度手にしてみてください。"
RabbitSupportLv1,buffs,Buff,,,Lv1,,レベル1
buffRabbitSupport1Desc,buffs,Buff,,,"Slightly boosts resource gathering and block damage.",,"資源採取量とブロックダメージが少し上昇する"
RabbitSupportLv2,buffs,Buff,,,Lv2,,レベル2
buffRabbitSupport2Desc,buffs,Buff,,,"Adds crafting and scrapping speed boosts.",,"クラフトとスクラップの速度が上昇する"
RabbitSupportLv3,buffs,Buff,,,Lv3,,レベル3
buffRabbitSupport3Desc,buffs,Buff,,,"Further increases productivity across all fields.",,"全体的な作業効率がさらにアップする"
RabbitSupportLv4,buffs,Buff,,,Lv4,,レベル4
buffRabbitSupport4Desc,buffs,Buff,,,"Master-level support for building and crafting.",,"建築・クラフトにおける熟練職人の支援を受けられる"
letter_rabbit_trial_1,items,Quest,,,Rabbit Trial Letter I,,Lapinの試練の手紙Ⅰ
letter_rabbit_trial_1Desc,items,Quest,,,This letter begins the first support trial for the handy rabbit.,,器用なLapinの支援の試練・第一段階が始まる手紙です。
letter_rabbit_trial_2,items,Quest,,,Rabbit Trial Letter II,,Lapinの試練の手紙Ⅱ
letter_rabbit_trial_2Desc,items,Quest,,,This letter begins the second support trial for the handy rabbit.,,器用なLapinの支援の試練・第二段階が始まる手紙です。
letter_rabbit_trial_3,items,Quest,,,Rabbit Trial Letter III,,Lapinの試練の手紙Ⅲ
letter_rabbit_trial_3Desc,items,Quest,,,This letter begins the third support trial for the handy rabbit.,,器用なLapinの支援の試練・第三段階が始まる手紙です。
letter_rabbit_trial_4,items,Quest,,,Rabbit Trial Letter IV,,Lapinの試練の手紙Ⅳ
letter_rabbit_trial_4Desc,items,Quest,,,This letter begins the fourth support trial for the handy rabbit.,,器用なLapinの支援の試練・第四段階が始まる手紙です。
quest_rabbit_support_trial_1_title,quests,Quest,,,Rabbit Support Trial I,,Lapinの支援試練 レベル1
quest_rabbit_support_trial_1_subtitle,quests,Quest,,,Craft your first essential tool,,最初の必須ツールをクラフトしよう
quest_rabbit_support_trial_1Desc,quests,Quest,,,Lapin wants to see your potential as a tinkerer. Start by crafting a simple reliable tool.,,整備士としての資質を試すために、Lapinは簡単で信頼できる道具を作るよう求めてきた。
quest_rabbit_support_trial_1_offer,quests,Quest,,,Can you handle the basics? Lapin is watching.,,基本ができてこそ一人前。Lapinが見ているよ。
quest_rabbit_support_trial_2_title,quests,Quest,,,Rabbit Support Trial II,,Lapinの支援試練 レベル2
quest_rabbit_support_trial_2_subtitle,quests,Quest,,,Scavenge key parts for a vehicle,,乗り物の中核部品を探そう
quest_rabbit_support_trial_2Desc,quests,Quest,,,Lapin challenges you to recover essential components from the wreckage. A true tinkerer must learn the art of salvage.,,Lapinは壊れた車から大事なパーツを取り出す力を試そうとしている。真の整備士は、回収の達人でなければならない。
quest_rabbit_support_trial_2_offer,quests,Quest,,,Ready to get your hands dirty? Find the heart and spark of a machine.,,手を汚す覚悟はある?機械の心臓と電源を見つけてこよう。
quest_rabbit_support_trial_3_title,quests,Quest,,,Rabbit Support Trial III,,Lapinの支援試練 レベル3
quest_rabbit_support_trial_3_subtitle,quests,Quest,,,Craft the bones of your future ride,,次なる乗り物の骨組みを作ろう
quest_rabbit_support_trial_3Desc,quests,Quest,,,Lapin believes you're ready to take a leap forward. Build the chassis and handlebars — the skeleton of your machine.,,Lapinは、次の一歩を踏み出す準備ができたと信じている。車体のシャーシとハンドルバーを作り上げよう。
quest_rabbit_support_trial_3_offer,quests,Quest,,,Can you shape the frame of a true vehicle?,,本物の乗り物のフレーム、形作れるかな?
quest_rabbit_support_trial_4_title,quests,Quest,,,Rabbit Support Trial IV,,Lapinの支援試練 レベル4
quest_rabbit_support_trial_4_subtitle,quests,Quest,,,Complete your machine!,,ついに完成、君だけの乗り物!
quest_rabbit_support_trial_4Desc,quests,Quest,,,Lapin watches as you attempt your greatest feat yet. Build the complete Minibike — proof of your skill and determination.,,Lapinは見守っている。これまでで最も難しい試練、ミニバイクの完成に挑もう。それは君の技術と意志の証となる。
quest_rabbit_support_trial_4_offer,quests,Quest,,,It's time to roll. Are you ready to ride?,,さあ走り出そう。君は準備できているか?
dialog_lapin_greeting,Dialogue,Lapin,,,"There you are.",,"やあ"
dialog_lapin_followme,Dialogue,Lapin,,,Follow Me,,ついてきて!
dialog_lapin_pickup,Dialogue,Lapin,,,Hop in!,,バッグに入って!
dialog_lapin_pickup_ref,Dialogue,Lapin,,,Let's head home!,,帰ろうか!
dialog_lapin_showpack,Dialogue,Lapin,,,What's in your pack?,,なに持ってる?
dialog_lapin_stayhere,Dialogue,Lapin,,,Stay right there,,ここで待ってて
dialog_lapin_guardhere,Dialogue,Lapin,,,Stay over here,,この辺見張ってて
dialog_lapin_wander,Dialogue,Lapin,,,Go play around here,,ちょっと遊んできて
dialog_lapin_loot,Dialogue,Lapin,,,Loot around here,,アイテム拾ってきて
dialog_lapin_dismiss,Dialogue,Lapin,,,Abandon,,自由にしてあげるね
dialog_lapin_hire,Dialogue,Lapin,,,"'Looking for someone handy? I've got tools and time.'",,"「手先の器用な仲間が欲しい?工具と時間ならあるよ」"
dialog_lapin_menu_main,Dialogue,Lapin,,,Let's go over the workshop stuff.,,整備のことを話そうか
dialog_lapin_menu_trials,dialog,Lapin,,,"I want to try a Rabbit Trial.",,Lapinの試練に挑戦したい
dialog_rabbit_start_trial_1,dialog,Lapin,,,"I want to take on the first rabbit trial.",,最初のLapinの試練に挑戦したい
dialog_rabbit_confirm_start_trial_1,dialog,Lapin,,,"'This trial requires you to craft a wrench.It's a good test of your hands-on skills! Ready to try?'",,「この試練ではレンチを作る必要があるよ。実践的なスキルのテストになるね。準備はいい?」
dialog_rabbit_start_confirm,dialog,Lapin,,,"Yes,I'm ready. Let's begin!",,うん、準備できてるよ。始めよう!
dialog_rabbit_trial2_entry,dialog,Lapin,,,"I'm ready for the second rabbit trial.",,2つ目のLapinの試練に挑戦したい
dialog_rabbit_trial2_require_info,dialog,Lapin,,,"Can you remind me what the second trial needs?",,2つ目の試練に必要なものを教えてもらえる?
dialog_rabbit_trial2_explain,dialog,Lapin,,,"'To proceed with the second trial,you'll need 10 Support Tickets.Once you have them,come talk to me again!'",,「2つ目の試練に挑戦するにはサポートチケットが10枚必要だよ。そろったら声をかけてね!」
dialog_rabbit_trial2_entry_text,dialog,Lapin,,,"Let me see if I'm ready…",,挑戦できるかな…
dialog_rabbit_start_trial_2,dialog,Lapin,,,"I've got the tickets. Let's start the second rabbit trial! (Needs 10 Support Tickets)",,チケットはあるよ。2つ目のLapinの試練、始めよう!(チケット10枚必要)
dialog_rabbit_confirm_start_trial_2,dialog,Lapin,,,"'This trial needs a car battery and a small engine.Find and bring them back to complete it.Shall we begin with 10 Support Tickets?'",,「この試練ではカーバッテリーと小型エンジンが必要になるよ。それらを集めて届けてね。チケット10枚で始めてもいいかな?」
dialog_rabbit_trial3_entry,dialog,Lapin,,,"I'm ready for the third rabbit trial.",,3つ目のLapinの試練に挑戦したい
dialog_rabbit_trial3_require_info,dialog,Lapin,,,"What do I need for the third trial?",,3つ目の試練に必要なものは?
dialog_rabbit_trial3_explain,dialog,Lapin,,,"'For this trial,you'll need 20 Support Tickets.Bring them to start the challenge!'",,「この試練にはサポートチケットが20枚必要だよ。集まったら挑戦してね!」
dialog_rabbit_trial3_entry_text,dialog,Lapin,,,"Let's see if I'm ready for it…",,挑戦できるかな…
dialog_rabbit_start_trial_3,dialog,Lapin,,,"I've got the tickets! Let's start the third rabbit trial. (Needs 20 Support Tickets)",,チケットはあるよ!3つ目のLapinの試練を始めよう(チケット20枚必要)
dialog_rabbit_confirm_start_trial_3,dialog,Lapin,,,"'You'll need to craft both a minibike chassis and handlebars.This trial tests your engineering skills!Shall we begin?'",,「この試練ではミニバイクのシャーシとハンドルを作ってもらうよ。エンジニアとしての腕の見せ所だね!始めてもいい?」
dialog_rabbit_trial4_entry,dialog,Lapin,,,"Time for the fourth rabbit trial.",,4つ目のLapinの試練に挑戦したい
dialog_rabbit_trial4_require_info,dialog,Lapin,,,"What's the final trial about?",,最後の試練って何をするの?
dialog_rabbit_trial4_explain,dialog,Lapin,,,"'You'll need to assemble a complete placeable minibike.Bring 30 Support Tickets when you're ready!'",,「この試練では完成したミニバイクを作る必要があるよ。チケット30枚を持ってきてね!」
dialog_rabbit_trial4_entry_text,dialog,Lapin,,,"It's time… I think I'm ready.",,いよいよだね…準備はできてる
dialog_rabbit_start_trial_4,dialog,Lapin,,,"Let's start the final rabbit trial! (Needs 30 Support Tickets)",,最後のLapinの試練、始めよう!(チケット30枚必要)
dialog_rabbit_confirm_start_trial_4,dialog,Lapin,,,"'Show me your craftsmanship and build the whole minibike.A true test of your tinkering.Shall we start now?'",,「君のクラフト技術を見せてもらうよ。ミニバイクを組み上げてね。さあ、始めようか?」
dialog_lapin_menu_support,Dialogue,Lapin,,,Tell me about your support.,,支援について知りたい
dialog_lapin_explain_support1,Dialogue,Lapin,,,Support Level 1 Effects,,支援レベル1の効果
dialog_lapin_support1_text,Dialogue,Lapin,,,"'You'll break things faster and gather more materials.'",,"「ブロックを早く壊せて、材料も多く集まるようになるよ。」"
dialog_lapin_explain_support2,Dialogue,Lapin,,,Support Level 2 Effects,,支援レベル2の効果
dialog_lapin_support2_text,Dialogue,Lapin,,,"'Your crafting and scrapping will be much faster.'",,"「クラフトと分解がかなり早くなるよ。」"
dialog_lapin_explain_support3,Dialogue,Lapin,,,Support Level 3 Effects,,支援レベル3の効果
dialog_lapin_support3_text,Dialogue,Lapin,,,"'You'll be even more efficient in building,with improved tool performance.'",,"「建築作業がもっと効率的になって、道具の性能もアップするよ。」"
dialog_lapin_explain_support4,Dialogue,Lapin,,,Support Level 4 Effects,,支援レベル4の効果
dialog_lapin_support4_text,Dialogue,Lapin,,,"'Maximum building speed and strength—no bolt left behind.'",,"「建築のスピードもパワーも最大に取りこぼしなしの完璧サポートだよ。」"
dialog_lapin_exchange_menu,dialog,Dialog,,,"'Need parts or upgrades? I've got just the thing!'","","「改造パーツを探してる?ちょうどいいのがあるよ!」"
dialog_lapin_mod_lv1,Dialogue,Lapin,,,Pedal Booster (Bike Speed Upgrade),,ペダルブースター(自転車速度アップ)
dialog_lapin_confirm_mod_lv1,Dialogue,Lapin,,,"'You want the Pedal Booster? Let's see if you've got the parts.'",,"「ペダルブースターが欲しいんだね?素材を確認するよ。」"
dialog_lapin_exchange_confirm,Dialogue,Lapin,,,"'Here you go!'",,どうぞ!
dialog_lapin_recipe_mod_lv1,Dialogue,Lapin,,,"'I'll need 10 Mechanical Parts and 5 Forged Iron.'",,「機械部品10個と錬鉄5個が必要だよ。」
dialog_lapin_mod_lv2,Dialogue,Lapin,,,Wrench Booster (Salvage Upgrade),,レンチブースター(解体効率アップ)
dialog_lapin_confirm_mod_lv2,Dialogue,Lapin,,,"'You want the Wrench Booster? Let's see if you've got the parts.'",,「レンチブースターが欲しいんだね?素材を確認するよ。」
dialog_lapin_recipe_mod_lv2,Dialogue,Lapin,,,"'I'll need 15 Mechanical Parts and 10 Forged Iron.'",,「機械部品15個と錬鉄10個が必要だよ。」
dialog_lapin_mod_lv3,Dialogue,Lapin,,,Multi-Link Booster (Speed Upgrade),,マルチリンクブースター(作業速度アップ)
dialog_lapin_confirm_mod_lv3,Dialogue,Lapin,,,"'You want the Multi-Link Booster? Let's see if you've got the parts.'",,「マルチリンクブースターが欲しいんだね?素材を確認するよ。」
dialog_lapin_recipe_mod_lv3,Dialogue,Lapin,,,"'I'll need 20 Mechanical Parts and 15 Forged Iron.'",,「機械部品20個と錬鉄15個が必要だよ。」
dialog_lapin_mod_lv4,Dialogue,Lapin,,,Lapin's Turbo Booster,,Lapinのターボブースター
dialog_lapin_confirm_mod_lv4,Dialogue,Lapin,,,"'You want the Turbo Booster? Let's check your gear.'",,「ターボブースターが欲しいんだね?素材を確認するよ。」
dialog_lapin_recipe_mod_lv4,Dialogue,Lapin,,,"'I'll need 30 Mechanical Parts,20 Forged Iron,and 10 Support Tickets.'",,「機械部品30個・錬鉄20個・サポートチケット10枚が必要だよ。」
modLapinPedalBooster,item_modifiers,Mod,,,Lapin's Pedal Booster,,Lapinのペダルブースター
modLapinPedalBoosterDesc,item_modifiers,Mod,,,"A lightweight speed-enhancer designed by Lapin. Perfect for quick rides across the wilds.","","Lapinが設計した軽量スピードブースター。荒野を素早く駆け抜けるための秘密兵器。"
modLapinWrenchBooster,item_modifiers,Mod,,,Lapin's Wrench Booster,,Lapinのレンチブースター
modLapinWrenchBoosterDesc,item_modifiers,Mod,,,"A sturdy enhancement grip engineered by Lapin. Boosts salvage efficiency with every turn.","","Lapinが設計した頑丈な強化グリップ。解体作業をより効率的にサポートしてくれる。"
modLapinMultiLinkBooster,item_modifiers,Mod,,,Lapin's Multi-Link Booster,,Lapinのマルチリンクブースター
